row,epoch,lr,train_loss,val_loss,val_loss_smooth
1,1,0.000995405417351527,0.0012085004942278222,0.0006644444257722289,
1,2,0.0009908319448927677,0.00034280639512958364,0.0016237749476321272,
1,3,0.0009862794856312104,0.00028756189604493756,0.00045407817839568864,
1,4,0.0009817479430199844,0.0001686641492493842,0.0006395867765841041,
1,5,0.0009772372209558107,0.00022043103031219496,0.000614655861957279,
1,6,0.0009727472237769651,0.00021568892880275952,0.0005183043826722143,
1,7,0.0009682778562612492,0.0001919814597080319,0.0003316040669086538,
1,8,0.0009638290236239705,0.0001729340468420782,0.00028399245685285405,
1,9,0.0009594006315159332,0.0001476614277111443,0.0010213289795043697,
1,10,0.000954992586021436,0.00016926577918825928,0.00025768357567329596,
1,11,0.0009506047936562815,0.0001541503591899427,0.00046274924214886957,
1,12,0.0009462371613657931,0.00013744883970932012,0.0003557073142093071,
1,13,0.0009418895965228413,0.00012505457381526986,0.0004526322831109493,
1,14,0.0009375620069258802,0.0001546562120934969,0.0003433374766408673,
1,15,0.000933254300796991,0.00013842082746419644,0.000198747032543284,
1,16,0.0009289663867799363,0.00011463386788090723,0.00013796990283308368,
1,17,0.0009246981739382225,0.00016560996721248997,0.00018831231878463313,
1,18,0.0009204495717531713,0.00010900193238300107,0.00010292036366953628,
1,19,0.0009162204901219998,9.134328821773426e-05,0.0002595920245542929,
1,20,0.0009120108393559097,0.00012507752544153178,0.00014726821082418497,0.00045293449106359115
1,21,0.0009078205301781858,8.838216544162064e-05,0.0001679418490312612,0.0004281093622265429
1,22,0.0009036494737223015,6.976926733284495e-05,0.00010543544548792684,0.0003521923871193329
1,23,0.0008994975815300353,0.00012141409109227756,0.00013800044780644293,0.0003363885005898706
1,24,0.0008953647655495938,0.00010278810047261191,0.00036777621714451715,0.00032279797261789117
1,25,0.0008912509381337456,9.405066695529233e-05,0.00015043230220007853,0.0002995867946300311
1,26,0.000887156012037961,6.451355497188267e-05,6.89771616274333e-05,0.00027712043357779205
1,27,0.0008830799004185628,6.022514843921618e-05,0.00015949152913847972,0.0002685148066892833
1,28,0.0008790225168308843,9.438903030933843e-05,0.00029717980832931576,0.00026917417426310645
1,29,0.0008749837752274361,7.944216396658962e-05,0.0001494248286644263,0.0002255789667211093
1,30,0.0008709635899560807,6.345556440464145e-05,0.0002887851487927955,0.00022713404537708426
1,31,0.0008669618757582166,6.651294866864297e-05,0.00017345612638937827,0.0002126693895891097
1,32,0.0008629785477669703,6.549046733473737e-05,0.00013097192784909743,0.0002014326202710992
1,33,0.0008590135215053957,8.596333161435597e-05,0.00028334169489118815,0.0001929680908601112
1,34,0.0008550667128846833,0.00010254369664214921,0.0001981056842135116,0.00018570650123874338
1,35,0.0008511380382023765,0.00010147120627145184,0.00017292876297307473,0.00018441558776023293
1,36,0.0008472274141405965,9.637567499641854e-05,0.000184700923859954,0.00018675213881157643
1,37,0.0008433347577642754,8.262954909536836e-05,0.00014058171248924,0.00018436560849680676
1,38,0.0008394599865193975,6.793949986680261e-05,0.00015587480619119629,0.00018701333062288978
1,39,0.0008356030182312481,8.381386301008355e-05,0.0001434083162554294,0.0001812041452079466
1,40,0.000831763771102671,7.034053787732611e-05,0.00012921920159819132,0.00018030169474664688
1,41,0.0008279421637123342,7.230152208017932e-05,0.00010030852105176905,0.00017692002834767228
1,42,0.0008241381150130022,8.733781207611021e-05,0.00024301500705750824,0.00018379900642615134
1,43,0.0008203515443298183,7.390134388489388e-05,0.0001715644259696464,0.00018547720533431157
1,44,0.0008165823713585925,7.01647934077846e-05,0.00010316706497694175,0.00017224674772593277
1,45,0.0008128305161640993,8.854362840979934e-05,0.00016375579555412797,0.00017291292239363527
1,46,0.0008090958991783824,7.702027473062581e-05,0.00021481160512010328,0.00018020464456826877
1,47,0.0008053784411990667,7.065748198426866e-05,0.00011319500796765274,0.0001778898185097274
1,48,0.0008016780633876791,8.098306080671078e-05,0.00027193111498464187,0.0001766273838424937
1,49,0.0007979946872679767,7.43563024388647e-05,0.00013883687903806956,0.0001760979863611759
1,50,0.0007943282347242815,5.539906426980925e-05,0.00012888171506056313,0.00016810281467456424
1,51,0.0007906786279998252,6.575478942181502e-05,0.0005271775942487906,0.0001857888880675349
1,52,0.0007870457896950987,7.670892209826599e-05,0.0001615784778426548,0.00018731921556721273
1,53,0.0007834296427662118,5.77797200320645e-05,9.402555582004672e-05,0.00017785340861365567
1,54,0.0007798301105232586,6.68235599843995e-05,0.00017513532121285317,0.00017670489046362275
1,55,0.0007762471166286917,7.327615007758722e-05,0.00013293605981726134,0.00017470525530583207
1,56,0.0007726805850957023,6.847222424311354e-05,0.00010332867772273897,0.0001706366429989713
1,57,0.0007691304402866096,5.4368296203418955e-05,0.00015453208103025906,0.00017133416142602224
1,58,0.0007655966069112563,5.591732160446481e-05,0.00020186844392722564,0.00017363384331282376
1,59,0.0007620790100254121,7.463333341781888e-05,0.00016426389320184983,0.00017467662216014477
1,60,0.0007585775750291837,6.880178294841691e-05,0.0001434617084785631,0.0001753887475041634
1,61,0.000755092227665434,6.76817259390154e-05,0.0001433520720254705,0.00017754092505284843
1,62,0.0007516228940182055,6.08605711031031e-05,0.00013289123316368405,0.00017203473635815723
1,63,0.0007481695005111544,6.249318498704993e-05,0.00011396068666928525,0.0001691545493931392
1,64,0.000744731973905989,6.175212692226685e-05,0.00016144393763150813,0.0001720683930258675
1,65,0.0007413102413009175,4.644482605595075e-05,0.00010512133961339996,0.0001691366702288311
1,66,0.000737904230129101,5.349277250904593e-05,0.00010034822659607762,0.00016341350130262983
1,67,0.000734513868157115,8.558302133192116e-05,0.00013151486053427757,0.00016432949393096105
1,68,0.0007311390834834175,4.443616116111319e-05,0.00013298934228380899,0.0001573824052959194
1,69,0.000727779804536824,5.219500082349502e-05,0.0001512313843329914,0.0001580021305606655
1,70,0.00072443596007499,7.453113080221966e-05,0.0001344474574817689,0.00015828041768172578
1,71,0.0007211074791828997,6.304836768806028e-05,0.0001529237002425077,0.00013956772298141164
1,72,0.0007177942912713617,5.912756887175476e-05,0.00014200270087197175,0.00013858893413287748
1,73,0.0007144963260755134,6.5350495914142e-05,0.0001806831396380637,0.00014292181332377834
1,74,0.0007112135136533291,6.120694709612541e-05,0.00011777575856822802,0.00014005383519154706
1,75,0.0007079457843841379,5.1913225270046245e-05,0.00012282967980485707,0.00013954851619092683
1,76,0.0007046930689671469,6.778890462556701e-05,0.0001515309989338552,0.00014195863225148267
1,77,0.0007014552984199713,5.5327058540650186e-05,0.00011926277759283983,0.0001401951670796117
1,78,0.0006982324040771714,6.864644949875889e-05,0.00018451260558213477,0.00013932737516235714
1,79,0.0006950243175887968,5.108490467733226e-05,9.03628504383015e-05,0.00013563232302417973
1,80,0.0006918309709189366,4.761138033451715e-05,0.00022551816165992732,0.00013973514568324795
